bgg_id,score,score_weighted,rank_weighted,rank
161936,39.2378,39.128,1,1
174430,39.1084,38.3528,3,2
167791,38.9546,38.4093,2,3
169786,31.5296,30.2307,5,4
182028,29.7253,30.8027,4,5
233078,27.9731,26.5854,9,6
224517,27.5638,29.0121,6,7
187645,27.1029,26.5235,10,8
162886,27.093,25.4988,12,9
291457,26.8841,26.8185,7,10
115746,26.2485,25.9734,11,11
12333,26.1746,26.717,8,12
120677,25.7683,24.9383,16,13
31260,25.0777,25.2889,13,14
220308,24.6816,25.2123,14,15
193738,24.4899,25.15,15,16
266192,24.1705,22.6311,19,17
96848,24.0122,22.977,18,18
84876,23.7628,24.0457,17,19
173346,22.9703,21.4352,23,20
102794,22.6003,21.5903,22,21
205637,22.2158,21.5975,21,22
3076,22.149,22.016,20,23
177736,21.0233,20.8701,25,24
183394,20.8233,19.898,26,25
463,20.6515,19.5514,29,26
36218,20.1976,19.0784,31,27
237182,20.0451,19.5182,30,28
72125,19.9965,18.3737,36,29
37111,19.7399,18.1498,39,30
124742,19.7203,18.8163,34,31
28720,19.6712,21.1117,24,32
110327,19.6267,16.5209,47,33
170216,19.5532,18.351,37,34
521,19.27,19.662,27,35
28143,19.2134,18.9817,32,36
167355,19.0673,16.9139,44,37
180263,18.8766,18.9143,33,38
124361,18.6369,19.584,28,39
205059,18.3894,17.4367,41,40
12493,18.3099,17.2133,42,41
2651,18.2801,18.4443,35,42
55690,17.8726,16.8928,45,43
68448,17.8415,16.0811,49,44
221107,17.4461,18.2545,38,45
164153,17.2596,15.9283,51,46
200680,17.2208,17.557,40,47
40834,16.953,16.0834,48,48
30549,16.804,15.3914,53,49
146021,16.7738,14.9162,59,50
39463,16.661,15.0509,56,51
199792,16.4812,14.9767,57,52
171,16.3156,14.9009,60,53
164928,16.2463,17.1625,43,54
175914,16.1733,16.6609,46,55
121921,16.0207,15.211,55,56
188,15.9275,14.6158,61,57
316554,15.3835,15.483,52,58
128882,15.2644,13.9353,64,59
25613,15.2605,15.9716,50,60
62219,15.0058,15.2778,54,61
209010,14.7633,14.0011,63,62
35677,14.0113,14.9689,58,63
126163,13.8245,13.8193,65,64
178900,13.6121,13.2334,66,65
266507,13.2894,14.2885,62,66
205896,13.2473,12.3869,68,67
230802,12.9012,11.5686,76,68
264220,12.7925,12.0291,72,69
150376,12.7629,10.7894,83,70
146508,12.5652,12.1819,70,71
103343,12.4794,11.2544,77,72
246900,12.457,13.1986,67,73
188834,12.3655,10.6082,84,74
285774,12.2095,11.9945,73,75
185343,11.9719,12.3276,69,76
201808,11.9095,10.007,96,77
77423,11.872,10.9221,81,78
82222,11.8684,11.0428,79,79
42,11.7801,12.0743,71,80
104162,11.7147,10.4486,87,81
155821,11.6987,10.3878,90,82
157354,11.6726,10.6069,85,83
2511,11.6703,11.0126,80,84
822,11.5528,10.2564,91,85
31481,11.3419,10.4127,88,86
14996,11.306,9.78862,99,87
132531,11.1861,10.5951,86,88
284083,11.049,11.9537,74,89
209418,10.8915,10.1106,93,90
9209,10.8399,9.65915,100,91
15987,10.7802,9.61207,101,92
314040,10.4957,11.603,75,93
93,10.3684,11.1869,78,94
244521,10.3209,9.54674,103,95
34635,10.3096,9.18634,107,96
18602,10.2682,10.793,82,97
269385,10.2364,9.83645,98,98
147020,10.2352,8.53945,117,99
41114,10.2299,9.19489,106,100
161970,10.0793,9.19593,105,101
103885,10.0684,9.25668,104,102
13,10.0148,8.42412,120,103
215,9.93462,10.2125,92,104
216132,9.84152,10.0275,95,105
192135,9.78023,10.0668,94,106
9609,9.57697,9.92204,97,107
159675,9.39029,10.4074,89,108
148228,9.38955,7.66701,137,109
92828,9.27701,8.56724,115,110
191189,9.09329,8.77019,112,111
39856,9.09278,8.40312,121,112
128621,8.99931,8.98554,110,113
43111,8.88502,8.38912,122,114
312484,8.8766,9.14096,108,115
198928,8.83693,8.55873,116,116
10630,8.80592,8.31823,124,117
125153,8.72451,9.587,102,118
31627,8.57515,7.96184,132,119
1115,8.43588,8.04829,130,120
129437,8.26052,7.31932,145,121
147949,8.20094,7.42654,140,122
171623,8.0748,8.35894,123,123
176189,8.06591,6.83768,153,124
63888,8.06355,8.03491,131,125
223321,8.06084,8.13625,128,126
146652,7.96035,7.38981,141,127
286096,7.93406,7.74384,133,128
127023,7.92839,7.3289,144,129
38453,7.9218,7.57426,138,130
163412,7.8777,7.15416,148,131
188920,7.87535,7.34071,142,132
129622,7.80718,6.4741,161,133
184267,7.78619,8.6987,114,134
122515,7.78208,8.76243,113,135
73439,7.77234,8.15955,127,136
276025,7.75261,8.96381,111,137
247763,7.74267,9.0487,109,138
139976,7.731,7.46284,139,139
